recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
6684,V,V,,1997-08-22,JACKSON M A/JACKSON J T,4,,,
6685,G550,G50,,2003-11-10,TOOFON INC,6,,,
6686,V,V,,1999-06-10,JACKSON M A/JACKSON J T,4,,,
6687,IV,IV,,1992-03-05,AEROTEK INC,4,,,
6688,B-52H Stratofortress,,,1962-01-11,,,,,
6689,BD-700 Global Express,,,1999-05-09,,,,,
6690,V,V,,2002-03-05,JACKSON M A/JACKSON J T,4,,,
6691,DC-8-61,DC-8-61,,1966-08-18,DOUGLAS,5,,,
6692,Falcon 2000,,,2002-11-08,,,,,
6693,Falcon 2000,,,2002-11-08,,,,,
6694,RV-6,RV-6,,1998-11-14,HOWARD MICHAEL A,4,,,
6695,Dash 8 Q400,,,2000-10-10,,,,,
6696,RV-6,RV-6,,1998-08-22,HOWARD MICHAEL A,4,,,
6697,RV-6,RV-6,,1998-11-14,HOWARD MICHAEL A,4,,,
6698,RV-6,RV-6,,1998-11-14,HOWARD MICHAEL A,4,,,
6699,A330-222,A310-222,,1998-03-21,AIRBUS INDUSTRIE,5,,,
6700,421B,421B,,1997-09-20,CESSNA,5,,,
6701,C-141A ,C-141A,,1978-12-15,LOCKHEED,5,,,
6702,III,III,,1983-11-18,AEROCAR,4,,,
6703,III,III,,1983-11-18,AEROCAR,4,,,
6704,36,36,,1984-07-24,BEECH,4,,,
6705,Cherokee,,,1988-08-15,,,,,
6706,208 Caravan,,,1996-05-05,,,,,
6707,V,V,,2000-06-28,JACKSON M A/JACKSON J T,4,,,
6708,208 Caravan,,,1996-05-13,,,,,
6709,Aerostar,,,1988-05-17,,,,,
6710,Citation Eagle XP,,,1992-02-29,,,,,
6711,750 Citation X,,,1995-05-11,,,,,
6712,Concorde,,,1999-10-24,,,,,
6713,Concorde,,,1999-11-14,,,,,
6714,Concorde,,,1999-11-14,,,,,
6715,172,172,,2000-07-31,CESSNA,4,,,
6716,310,310,,1992-07-01,SCHRECK FBA,4,,,
6717,140,140,,1995-09-21,CESSNA,4,,,
6718,172Q,172Q,,2000-06-03,CESSNA,4,,,
6719,172N,172N,,2000-08-02,CESSNA,4,,,
6720,RV-6,RV-6,,1999-06-04,HOWARD MICHAEL A,4,,,
6721,RV-6,RV-6,,1999-06-04,HOWARD MICHAEL A,4,,,
6722,747-200 ER,767-200ER,,1984-06-01,BOEING,5,,,
6723,Jetstar,,,1962-04-22,,,,,
6724,Jetstar,,,1962-04-22,,,,,
6725,Canberra T.Mk.4,,,1958-02-22,,,,,
6726,III,III,,1996-04-27,AEROCAR,4,,,
6727,V,V,,1997-11-13,JACKSON M A/JACKSON J T,4,,,
6728,Jetstar,,,1962-04-22,,,,,
6729,310,310,,1992-06-15,SCHRECK FBA,4,,,
6730,P-51D ,P-51D,,1947-11-25,MENDONCA,4,,,
6731,1125 Astra SPX,,,1996-11-12,,,,,
6732,Concorde,,,1986-09-17,,,,,
6733,B-52H Stratofortress,,,1962-01-10,,,,,
6734,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6735,Jetstar,,,1962-04-22,,,,,
6736,III,III,,1984-02-14,AEROCAR,4,,,
6737,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6738,B-58 Hustler ,,,1961-05-26,,,,,
6739,Jetstar,,,1962-04-22,,,,,
6740,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6741,DH.88 Comet,,,1938-03-20,,,,,
6742,750 Citation X,,,1995-06-06,,,,,
6743,60,60,,1995-06-07,LITTLE WINDY,4,,,
6744,II-SP,,,2003-12-15,,,,,
6745,BD-700 Global Express,,,1997-06-12,,,,,
6746,Aerostar,,,1989-05-19,,,,,
6747,310,310,,1992-06-28,SCHRECK FBA,4,,,
6748,310,310,,1992-06-28,SCHRECK FBA,4,,,
6749,310,310,,1992-06-30,SCHRECK FBA,4,,,
6750,C-135C 61-2669,,,1985-10-03,,,,,
6751,201,201,,1991-11-09,PAPPAS GEORGE,4,,,
6752,252TSE,,,1987-03-07,,,,,
6753,Canberra,,,1952-08-26,,,,,
6754,II Special,,,1998-08-29,,,,,
6755,Concorde,,,1986-04-08,,,,,
6756,Concorde,,,1985-03-29,,,,,
6757,Meteor MK F8,,,1950-04-04,,,,,
6758,Canberra PR.Mk.7,,,1955-08-23,,,,,
6759,Concorde,,,1985-02-16,,,,,
6760,B-58 Hustler ,,,1962-03-05,,,,,
6761,Pelican GS,,,1996-06-26,,,,,
6762,Citation X,,,1997-09-13,,,,,
6763,RV-6,RV-6,,1998-08-22,HOWARD MICHAEL A,4,,,
6764,140,140,,1995-09-21,CESSNA,4,,,
6765,P.180 Avanti,,,2003-02-06,,,,,
6766,SR-71,SR-1,,1990-03-06,VSR (VANMETER-SMITH RACING),4,,,
6767,X-15-1,S-15-1,,1962-07-17,STEMME GMBH,1,,,
6769,S.O. 9050 Trident,,,1958-05-02,,,,,
6770,Pfledge,,,1990-10-24,,,,,
6771,Pfledge,,,1990-10-24,,,,,
6772,Pfledge,,,1990-10-24,,,,,
6773,767-300,767-300,,2006-03-17,BOEING,5,,,
6774,747-400,747-400,,2006-03-18,BOEING,5,,,
6775,A320,320,,2006-03-14,WINBURN L A/WINBURN S R,4,,,
6776,S-10,S-10,,1972-08-12,WNUK RONALD,4,,,
6777,LBL-31,LB-1,,2005-09-29,STAIB,4,,,
6778,LBL-31,LB-1,,2005-09-29,STAIB,4,,,
6779,Firefly,,,1994-02-19,,,,,
6780,Firefly,,,1994-02-19,,,,,
6781,Firefly,,,1994-02-19,,,,,
6782,Firefly,,,1994-02-19,,,,,
6783,Firefly,,,1994-02-19,,,,,
6784,Firefly,,,1994-02-19,,,,,
6785,Firefly,,,1994-02-19,,,,,
6786,Firefly,,,1994-02-19,,,,,
6787,Firefly,,,1994-02-19,,,,,
6788,NL-510/STU,NL-510/STU,,2001-10-07,BALLONBAU WORNER GMBH,2,,,
6789,NL-510/STU,NL-510/STU,,2001-10-07,BALLONBAU WORNER GMBH,2,,,
6790,NL-510/STU,NL-510/STU,,2001-10-07,BALLONBAU WORNER GMBH,2,,,
6791,NL-510/STU,NL-510/STU,,2001-10-07,BALLONBAU WORNER GMBH,2,,,
6792,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6793,AA-1000,A-1000,,1995-10-11,THIELE JAMES R,2,,,
6794,AA-1000,A-1000,,1995-10-12,THIELE JAMES R,2,,,
6795,AA-1000,A-1000,,1995-10-13,THIELE JAMES R,2,,,
6796,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6797,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6798,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6799,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6800,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6801,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6802,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6803,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6804,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6805,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6806,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6807,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6808,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6809,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6810,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6811,AA-1000,A-1000,,1995-10-10,THIELE JAMES R,2,,,
6812,LBL-210 A,,,2000-05-21,,,,,
6813,LBL-210 A,,,2000-05-21,,,,,
6814,LBL-210 A,,,2000-05-21,,,,,
6815,LBL-210 A,,,2000-05-21,,,,,
6816,LBL-210 A,,,2000-05-21,,,,,
6817,LBL-210 A,,,2000-05-21,,,,,
6818,BP-31,BP-1,,1939-05-13,BAYLES SPECIAL,4,,,
6819,N-56,N-56,,1997-08-22,CAMERON BALLOONS,2,,,
6820,Cloudhopper,,,1994-06-05,,,,,
6821,,,,1953-05-08,,,,,
6822,S-50A,S-50A,,1974-03-23,LOVELL KENNETH,2,,,
6823,S-50A,S-50A,,1974-03-23,LOVELL KENNETH,2,,,
6824,Rally,,,1996-02-04,,,,,
6825,Rally,,,1996-02-04,,,,,
6826,Rally,,,1996-02-04,,,,,
6827,Rally,,,1996-02-04,,,,,
6828,Rally,,,1996-02-04,,,,,
6829,Rally,,,1996-02-04,,,,,
6830,Rally,,,1996-02-04,,,,,
6831,Rally,,,1996-02-04,,,,,
6832,Rally,,,1996-02-04,,,,,
6833,31A,31A,,1998-01-24,BALLOON REPAIRS OF EAST TEXAS,2,,,
6834,Firefly 18,,,1965-09-03,,,,,
6835,K780,,,1975-07-31,,,,,
6836,K780,,,1975-07-31,,,,,
6837,K780,,,1975-07-13,,,,,
6838,K780,,,1975-07-31,,,,,
6839,K780,,,1975-07-31,,,,,
6840,K780,,,1975-07-31,,,,,
6841,K780,,,1975-07-31,,,,,
6842,K780,,,1975-07-31,,,,,
6843,K780,,,1975-07-31,,,,,
6844,K780,,,1975-07-31,,,,,
6845,Rally,,,1994-08-19,,,,,
6846,Rally,,,1994-08-19,,,,,
6847,Rally,,,1994-08-19,,,,,
6848,Rally,,,1994-08-19,,,,,
6849,Rally,,,1994-08-19,,,,,
6850,Rally,,,1994-08-19,,,,,
6851,Rally,,,1994-08-19,,,,,
6852,Rally,,,1994-08-19,,,,,
6853,Rally,,,1994-08-19,,,,,
6854,AX-1,AX-1,,1978-07-29,ARRAS WILLIAM,2,,,
6855,AX-1,AX-1,,1978-07-29,ARRAS WILLIAM,2,,,
6856,S-10,S-10,,1972-08-12,WNUK RONALD,4,,,
6863,Firefly 5,,,1979-12-08,,,,,
6864,Firefly 5,,,1979-12-08,,,,,
6865,,,,1980-03-02,,,,,
6866,,,,1983-01-16,,,,,
6867,XP-3011,,,2001-02-26,,,,,
6868,XP-3011,,,2001-02-26,,,,,
6869,LBL-14M,,,1998-11-04,,,,,
6870,LBL-14M,,,1998-11-04,,,,,
6871,LBL-14M,,,1998-11-04,,,,,
6872,LBL-14M,,,1998-11-04,,,,,
6873,LBL-14M,,,1998-11-04,,,,,
6874,LBL-14M,,,1998-11-04,,,,,
6875,LBL-14M,,,1998-11-04,,,,,
6876,LBL-14M,,,1998-11-04,,,,,
6877,LBL-14M,,,1998-11-04,,,,,
6878,LBL-14M,,,1998-11-04,,,,,
6879,LBL-14M,,,1998-11-04,,,,,
6880,LBL-14M,,,1998-11-04,,,,,
6881,LBL-14M,,,1998-11-04,,,,,
6882,LBL-14M,,,1998-11-04,,,,,
6883,LBL-14M,,,1998-11-04,,,,,
6884,LBL-14M,,,1998-11-04,,,,,
6885,LBL-14M,,,1998-11-04,,,,,
6886,LBL-14M,,,1998-11-04,,,,,
6887,LBL-14M,,,1998-11-04,,,,,
6888,LBL-14M,,,1998-11-04,,,,,
6889,LBL-14M,,,1998-11-04,,,,,
6890,LBL-14M,,,1998-11-04,,,,,
6891,LBL-14M,,,1998-11-04,,,,,
6892,LBL-14M,,,1998-11-04,,,,,
6893,LBL-14M,,,1998-11-04,,,,,
6894,LBL-14M,,,1998-11-04,,,,,
6895,LBL-14M,,,1998-11-04,,,,,
6896,LBL-14M,,,1998-11-04,,,,,
6897,LBL-14M,,,1998-11-04,,,,,
6898,LBL-14M,,,1998-11-04,,,,,
6899,LBL-14M,,,1998-11-04,,,,,
6900,LBL-14M,,,1998-11-04,,,,,
6901,LBL-14M,,,1998-11-04,,,,,
6902,LBL-14M,,,1998-11-04,,,,,
6903,LBL-14M,,,1998-11-04,,,,,
6904,LBL-14M,,,1998-11-04,,,,,
6905,LBL-14M,,,1998-11-04,,,,,
6906,LBL-14M,,,1998-11-04,,,,,
6907,LBL-14M,,,1998-11-04,,,,,
6908,,,,1975-03-13,,,,,
6909,,,,1975-03-13,,,,,
6910,,,,1975-03-13,,,,,
6911,,,,1975-03-13,,,,,
6912,,,,1975-03-13,,,,,
6913,NL-510,L-10,,1996-10-13,LISKO STEVEN,6,,,
6914,NL-510,L-10,,1996-10-13,LISKO STEVEN,6,,,
6915,Cloudhopper 14A,,,1995-01-28,,,,,
6916,S-10,S-10,,1972-08-12,WNUK RONALD,4,,,
6917,S-10,S-10,,1972-08-12,WNUK RONALD,4,,,
6918,S-10,S-10,,1972-08-12,WNUK RONALD,4,,,
6919,,,,1975-03-13,,,,,
6920,,,,1975-03-13,,,,,
6921,A-165,A-15,,1984-07-14,ANTONOV,1,,,
6922,,,,1962-08-24,,,,,
6923,14-A,14-A,,1964-05-10,BARNES,2,,,
6924,14-A,14-A,,1964-05-10,BARNES,2,,,
6925,14-A,14-A,,1964-05-10,BARNES,2,,,
6926,14-A,14-A,,1964-05-10,BARNES,2,,,
6927,14-A,14-A,,1964-05-10,BARNES,2,,,
6928,14-A,14-A,,1964-05-10,BARNES,2,,,
6929,14-A,14-A,,1964-05-10,BARNES,2,,,
6930,14-A,14-A,,1964-05-10,BARNES,2,,,
6931,14-A,14-A,,1964-05-10,BARNES,2,,,
6932,14-A,14-A,,1964-05-10,BARNES,2,,,
6933,14-A,14-A,,1964-05-10,BARNES,2,,,
6934,OO-BFH,,,1932-08-18,,,,,
6935,14-A,14-A,,1964-05-10,BARNES,2,,,
6936,Lee Lewis Memorial,,,1961-05-04,,,,,
6937,RN-9,,,1994-10-13,,,,,
6938,RN-9,,,1994-10-13,,,,,
6939,LBL-14M,,,1998-11-04,,,,,
6940,LBL-14M,,,1998-11-04,,,,,
6941,LBL-14M,,,1998-11-04,,,,,
6942,LBL-14M,,,1998-11-04,,,,,
6943,LBL-14M,,,1998-11-04,,,,,
6944,AM-2200,M-200,,1996-11-25,CARMAM S A,1,,,
6945,AM-2200,M-200,,1996-11-25,CARMAM S A,1,,,
6946,AM-2200,M-200,,1996-11-25,CARMAM S A,1,,,
6947,AM-2200,M-200,,1996-11-25,CARMAM S A,1,,,
6948,AM-2200,M-200,,1996-11-25,CARMAM S A,1,,,
6949,AM-2200,M-200,,1996-11-25,CARMAM S A,1,,,
6950,AM-2200,M-200,,1996-11-25,CARMAM S A,1,,,
6951,Gas-008,,,1994-06-15,,,,,
6952,Gas-008,,,1994-06-15,,,,,
6953,Gas-008,,,1994-06-15,,,,,
6954,Gas-008,,,1994-06-15,,,,,
6955,Gas-008,,,1994-06-15,,,,,
6956,Gas-008,,,1994-06-15,,,,,
6957,Gas-008,,,1994-06-15,,,,,
6958,,,,1996-09-22,,,,,
6959,,,,1996-09-22,,,,,
6960,,,,1996-09-22,,,,,
6961,,,,1996-09-22,,,,,
6962,,,,1996-09-22,,,,,
6963,,,,1996-09-22,,,,,
6964,,,,1996-09-22,,,,,
6965,,,,1996-09-22,,,,,
6966,,,,1999-03-21,,,,,
6967,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6968,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6969,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6970,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6971,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6972,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6973,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6974,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6975,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6976,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6977,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6978,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6979,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6980,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
6981,,,,1984-11-22,,,,,
6982,,,,1984-11-22,,,,,
6983,,,,1984-11-22,,,,,
6984,,,,1984-11-22,,,,,
6985,,,,1984-11-22,,,,,
6986,,,,1984-11-22,,,,,
6987,,,,1984-11-22,,,,,
6988,,,,1984-11-22,,,,,
6989,,,,1984-11-22,,,,,
6990,,,,1984-11-22,,,,,
6991,LBL9A,,,1995-02-28,,,,,
6992,,,,1988-01-10,,,,,
6993,LBL-14,LB-1,,1998-03-15,STAIB,4,,,
6994,Cloudhopper,,,1983-01-23,,,,,
6995,21A,21A,,1986-02-15,COLT BALLOONS LTD,2,,,
6996,31A,31A,,1986-02-23,BALLOON REPAIRS OF EAST TEXAS,2,,,
6997,,,,1979-12-08,,,,,
6998,56A,56A,,1996-06-12,GREGORY J WINKER,2,,,
6999,Firefly,,,1982-12-12,,,,,
7000,Colt 77A,,,1995-07-08,,,,,
7001,Firefly,,,1981-02-03,,,,,
7002,BB-30,BB-39,,1998-07-21,BILLY BILLY BALLOONS,2,,,
7003,Firefly,,,1981-02-03,,,,,
7004,S66A,S-66A,,1979-08-01,RAVEN INDUSTRIES INC,2,,,
7005,S66A,S-66A,,1979-08-01,RAVEN INDUSTRIES INC,2,,,
7006,S66A,S-66A,,1979-08-01,RAVEN INDUSTRIES INC,2,,,
7007,,,,1980-10-31,,,,,
7008,,,,1980-10-31,,,,,
7009,,,,1988-06-06,,,,,
7010,,,,1988-06-06,,,,,
7011,A-165,A-15,,1984-09-08,ANTONOV,1,,,
7012,A-165,A-15,,1984-09-08,ANTONOV,1,,,
7013,,,,2002-01-05,,,,,
7014,,,,2002-01-05,,,,,
7015,,,,2002-01-05,,,,,
7016,Grom-1,,,2003-02-05,,,,,
7017,Grom-1,,,2003-02-05,,,,,
7018,GB-47,GB-47,,1976-10-10,YOST MFG. CO.,2,,,
7019,GB-47,GB-47,,1976-10-10,YOST MFG. CO.,2,,,
7020,GB55,GB-55,,1984-09-18,YOST MFG. CO.,2,,,
7021,GB55,GB-55,,1984-09-18,YOST MFG. CO.,2,,,
7022,GB55,GB-55,,1984-09-18,YOST MFG. CO.,2,,,
7024,GB55,GB-55,,1984-09-18,YOST MFG. CO.,2,,,
7025,Experimental,,,1981-11-12,,,,,
7026,Experimental,,,1981-11-12,,,,,
7027,Gas-008,,,1999-10-22,,,,,
7028,Gas-008,,,1999-10-22,,,,,
7029,Gas-008,,,1999-10-22,,,,,
7030,Cameron R-15,,,2005-10-02,,,,,
7031,Cameron R-15,,,2005-10-02,,,,,
7032,Gas-008,,,1999-10-22,,,,,
7033,Gas-008,,,1999-10-22,,,,,
7034,Cameron R-15,,,2005-10-02,,,,,
7035,Gas-008,,,1999-10-22,,,,,
7036,Cameron R-15,,,2005-10-02,,,,,
7037,Gas-008,,,1999-10-22,,,,,
7038,Cameron R-15,,,2005-10-02,,,,,
7039,,,,1992-02-14,,,,,
7040,,,,1992-09-22,,,,,
7041,,,,1992-09-22,,,,,
7042,R-150,R-15,,1995-02-22,CAMERON BALLOONS LTD,2,,,
7043,R-210,R-20,,1997-01-20,LOCKHEED,5,,,
7044,R-210,R-20,,1997-01-20,LOCKHEED,5,,,
7045,R-450,ZR-50,,1998-08-16,ZING AEROSPORTS LLC,2,,,
7046,R-550,RX-550,,2002-07-03,HINDS TOM,4,,,
7047,R-550,RX-550,,2002-07-03,HINDS TOM,4,,,
7048,,,,1999-03-21,,,,,
7049,,,,1995-10-20,,,,,
7050,,,,1995-10-20,,,,,
7051,,,,1995-10-20,,,,,
7052,,,,1995-10-20,,,,,
7053,,,,1995-10-20,,,,,
7054,,,,1995-10-20,,,,,
7055,,,,1995-10-20,,,,,
7056,,,,1995-10-20,,,,,
7057,,,,1995-10-20,,,,,
7058,,,,1995-10-20,,,,,
7059,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
7060,Atmostat America,,,1976-04-19,,,,,
7061,Atmostat America,,,1976-04-19,,,,,
7062,Atmostat America,,,1976-04-19,,,,,
7063,,,,1984-11-22,,,,,
7064,Atmostat America,,,1976-04-19,,,,,
7065,,,,1984-11-22,,,,,
7066,Atmostat America,,,1976-04-19,,,,,
7067,,,,1984-11-22,,,,,
7068,Atmostat America,,,1976-04-19,,,,,
7069,,,,1984-11-22,,,,,
7070,,,,1984-11-22,,,,,
7071,Atmostat America,,,1976-04-19,,,,,
7072,Atmostat America,,,1976-04-19,,,,,
7073,,,,1984-11-22,,,,,
7074,Atmostat America,,,1976-04-19,,,,,
7075,,,,1984-11-22,,,,,
7076,Atmostat America,,,1976-04-19,,,,,
7077,,,,1984-11-22,,,,,
7078,Atmostat America,,,1976-04-19,,,,,
7079,,,,1984-11-22,,,,,
7080,Atmostat America,,,1976-04-19,,,,,
7081,,,,1984-11-22,,,,,
7082,Atmostat America,,,1976-04-19,,,,,
7083,,,,1988-02-07,,,,,
7084,LBL-14,LB-1,,1997-02-16,STAIB,4,,,
7085,Cloudhopper,,,1983-03-22,,,,,
7086,LBL-21,LB-1,,2001-03-04,STAIB,4,,,
7087,Cloudhopper AX-3,,,1983-02-03,,,,,
7088,LBL-21,LB-1,,2001-03-04,STAIB,4,,,
7089,,,,1999-02-13,,,,,
7090,,,,1998-01-10,,,,,
7091,Colt 56A,,,1995-02-06,,,,,
7092,Colt 56A,,,1995-02-06,,,,,
7093,Colt 56A,,,1995-02-06,,,,,
7094,AX-8,AX-8,,2005-03-01,HENRY J/KENNEDY K,2,,,
7095,S-66A,S-66A,,2003-01-20,RAVEN INDUSTRIES INC,2,,,
7096,AX-8,AX-8,,2005-03-01,HENRY J/KENNEDY K,2,,,
7097,N-210,N-210,,1994-06-23,CAMERON BALLOONS US,2,,,
7098,S-66A,S-66A,,2003-01-20,RAVEN INDUSTRIES INC,2,,,
7099,N-210,N-210,,1994-06-23,CAMERON BALLOONS US,2,,,
7100,S-66A,S-66A,,2003-01-20,RAVEN INDUSTRIES INC,2,,,
7101,N-210,N-210,,1994-06-23,CAMERON BALLOONS US,2,,,
7102,S-66A,S-66A,,2003-01-20,RAVEN INDUSTRIES INC,2,,,
7103,N-210,N-210,,1994-06-23,CAMERON BALLOONS US,2,,,
7104,S-66A,S-66A,,2003-01-20,RAVEN INDUSTRIES INC,2,,,
7105,N-210,N-210,,1994-06-23,CAMERON BALLOONS US,2,,,
7106,S-66A,S-66A,,2003-01-20,RAVEN INDUSTRIES INC,2,,,
7107,Colt 2500A,,,1991-01-17,,,,,
7108,S-66A,S-66A,,2003-01-20,RAVEN INDUSTRIES INC,2,,,
7109,AX-8,AX-8,,2005-03-01,HENRY J/KENNEDY K,2,,,
7110,AX-8,AX-8,,2005-03-01,HENRY J/KENNEDY K,2,,,
7111,AX-8,AX-8,,2005-03-01,HENRY J/KENNEDY K,2,,,
7112,AX-8,AX-8,,2005-03-01,HENRY J/KENNEDY K,2,,,
7113,AX-8,AX-8,,2005-03-01,HENRY J/KENNEDY K,2,,,
7114,AX-8,AX-8,,2005-03-01,HENRY J/KENNEDY K,2,,,
7115,A-165,A-15,,1983-05-30,ANTONOV,1,,,
7116,600M,6000M,,1991-09-26,REARWIN,4,,,
7117,VL 248,,,1994-06-05,,,,,
7118,,,,2005-02-11,,,,,
7119,600M,6000M,,1991-09-26,REARWIN,4,,,
7120,80,80,,1941-03-30,NAUGLE AIRCRAFT CORP,4,,,
7121,600M,6000M,,1991-09-26,REARWIN,4,,,
7122,,,,2005-02-11,,,,,
7123,,,,2005-02-11,,,,,
7124,,,,1939-04-03,,,,,
7125,600M,6000M,,1991-09-26,REARWIN,4,,,
7126,,,,1939-04-03,,,,,
7127,Grom-1,,,2001-02-19,,,,,
7128,II,II,,1995-09-13,AEROCAR,4,,,
7129,Grom-1,,,2001-02-19,,,,,
7130,GB-47,GB-47,,1976-10-10,YOST MFG. CO.,2,,,
7131,GB-47,GB-47,,1976-10-10,YOST MFG. CO.,2,,,
7132,GB-47,GB-47,,1976-10-10,YOST MFG. CO.,2,,,
7133,Double Eagle II,,,1978-08-17,,,,,
7134,Double Eagle II,,,1978-08-17,,,,,
7136,Double Eagle II,,,1978-08-17,,,,,
7137,Double Eagle II,,,1978-08-17,,,,,
7138,Double Eagle II,,,1978-08-17,,,,,
7139,Gas-008,,,1999-10-22,,,,,
7140,Gas-008,,,1999-10-22,,,,,
7141,Gas-008,,,1999-10-22,,,,,
7142,Gas-008,,,1999-10-22,,,,,
7143,Gas-008,,,1999-10-22,,,,,
7144,Gas-008,,,1999-10-22,,,,,
7145,Gas-008,,,1999-10-22,,,,,
7146,,,,1992-02-14,,,,,
7147,,,,2000-09-05,,,,,
7148,,,,1992-09-22,,,,,
7149,,,,1992-09-22,,,,,
7150,,,,2000-09-05,,,,,
7151,,,,1992-09-22,,,,,
7152,,,,2000-09-05,,,,,
7153,R-210,R-20,,1997-01-20,LOCKHEED,5,,,
7154,R-210,R-20,,1997-01-20,LOCKHEED,5,,,
7155,,,,2000-03-03,,,,,
7156,R-550,RX-550,,2002-07-03,HINDS TOM,4,,,
7157,R-550,RX-550,,2002-07-03,HINDS TOM,4,,,
7158,,,,1999-03-21,,,,,
7159,600M,6000M,,1991-09-26,REARWIN,4,,,
7160,600M,6000M,,1991-09-26,REARWIN,4,,,
7161,600M,6000M,,1991-09-26,REARWIN,4,,,
7162,600M,6000M,,1991-09-26,REARWIN,4,,,
7163,600M,6000M,,1991-09-26,REARWIN,4,,,
7164,600M,6000M,,1991-09-26,REARWIN,4,,,
7165,600M,6000M,,1991-09-26,REARWIN,4,,,
7166,600M,6000M,,1991-09-26,REARWIN,4,,,
7167,600M,6000M,,1991-09-26,REARWIN,4,,,
7168,600M,6000M,,1991-09-26,REARWIN,4,,,
7169,600M,6000M,,1991-09-26,REARWIN,4,,,
7170,600M,6000M,,1991-09-26,REARWIN,4,,,
7171,600M,6000M,,1991-09-26,REARWIN,4,,,
7172,AS-2,WAS-2,,2003-03-08,WOODYS PUSHER,4,,,
7173,Atmostat America,,,1976-07-04,,,,,
7174,Atmostat America,,,1976-07-04,,,,,
7175,Atmostat America,,,1976-07-04,,,,,
7176,,,,1984-11-22,,,,,
7177,,,,1984-11-22,,,,,
7178,,,,1984-11-22,,,,,
7179,,,,1984-11-22,,,,,
7180,,,,1984-11-22,,,,,
7181,,,,1984-11-22,,,,,
7182,,,,1984-11-22,,,,,
7183,,,,1984-11-22,,,,,
7184,,,,1984-11-22,,,,,
7185,,,,1984-11-22,,,,,
7186,Atmostat America,,,1976-07-04,,,,,
7187,Atmostat America,,,1976-07-04,,,,,
7188,Atmostat America,,,1976-07-04,,,,,
7189,Atmostat America,,,1976-07-04,,,,,
7190,Atmostat America,,,1976-07-04,,,,,
7191,Atmostat America,,,1976-07-04,,,,,
7192,Atmostat America,,,1976-07-04,,,,,
7193,Atmostat America,,,1976-07-04,,,,,
7194,Atmostat America,,,1976-07-04,,,,,
7195,Atmostat America,,,1976-07-04,,,,,
7196,LBL9A,,,1995-02-11,,,,,
7197,,,,1988-02-07,,,,,
7198,LBL-14,LB-1,,1997-02-16,STAIB,4,,,
7199,Cloudhopper,,,1983-03-22,,,,,
7200,LBL-21,LB-1,,2001-03-04,STAIB,4,,,
7201,RJ-32,RJ-32,,2006-02-18,CAMERON BALLOONS US,2,,,
7202,RJ-32,RJ-32,,2006-02-18,CAMERON BALLOONS US,2,,,
7203,AX4,AX4,,1986-03-20,DAEDALUS-AEROSTAT,2,,,
7204,XP-3011,,,2001-02-10,,,,,
7205,XP-3010,,,2000-12-13,,,,,
7206,Firefly,,,1984-01-19,,,,,
7207,Colt 105A,,,1993-01-25,,,,,
7208,Colt 105A,,,1993-01-25,,,,,
