recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
9566,421C,421C,,1987-03-15,CESSNA,5,,,
9567,60 Duke,,,1975-04-08,,,,,
9568,Aerostar,,,1988-08-13,,,,,
9569,T-28B,T-28B,,1990-04-13,NORTH AMERICAN/ARMOFLEX INC,4,,,
9570,60 Duke,,,1975-07-25,,,,,
9571,Chieftan,,,1983-02-20,,,,,
9572,60 Duke,,,1975-07-24,,,,,
9573,Aerostar 601P,,,1985-06-29,,,,,
9574,60 Duke,,,1975-04-26,,,,,
9575,60 Duke,,,1989-05-06,,,,,
9576,414,414,,1987-05-09,CESSNA,5,,,
9577,PA-31 Navajo Panther,,,1979-08-01,,,,,
9578,Aerostar 602P,,,1987-04-28,,,,,
9579,PA-31-310,PA-31-310,,1988-06-22,PIPER,5,,,
9580,Aerostar,,,1988-11-23,,,,,
9581,Aerostar,,,1988-11-09,,,,,
9582,Aerostar 601P,,,1985-06-30,,,,,
9583,Aerostar 601P,,,1985-07-01,,,,,
9584,Aerostar 601P,,,1985-06-17,,,,,
9585,Aerostar 601P,,,1985-06-30,,,,,
9586,PA-60-602P Aerostar,,,2000-06-09,,,,,
9587,Aerostar,,,1988-11-06,,,,,
9588,PA-31 Navajo Panther,,,1979-09-06,,,,,
9589,Aerostar 601P,,,1985-06-15,,,,,
9590,Navajo,,,1971-11-22,,,,,
9591,PA-60-602P Aerostar,,,2000-06-08,,,,,
9592,340A,340A,,1984-10-02,CESSNA,5,,,
9593,340A,340A,,1984-10-02,CESSNA,5,,,
9594,340A,340A,,1984-10-01,CESSNA,5,,,
9595,340A,340A,,1984-10-02,CESSNA,5,,,
9596,PA-60-602P Aerostar,,,2000-06-14,,,,,
9597,421C,421C,,1987-03-06,CESSNA,5,,,
9598,Aerostar,,,1988-08-08,,,,,
9599,Aerostar 601P,,,1985-06-24,,,,,
9600,C414A Chancellor,,,1989-09-30,,,,,
9601,Aerostar,,,1988-11-10,,,,,
9602,PA-60-602P Aerostar,,,2000-06-14,,,,,
9603,Aerostar 601P,,,1985-06-22,,,,,
9604,Aerostar 601P,,,1985-06-30,,,,,
9605,Aerostar 601P,,,1985-07-01,,,,,
9606,Aerostar 601P,,,1985-06-30,,,,,
9607,Aerostar 601P,,,1985-06-30,,,,,
9608,Aerostar 601P,,,1985-06-30,,,,,
9609,Aerostar,,,1988-08-05,,,,,
9610,Aerostar,,,1988-08-20,,,,,
9611,421B,421B,,1997-09-11,CESSNA,5,,,
9612,421C,421C,,1987-03-27,CESSNA,5,,,
9613,421B,421B,,1997-09-16,CESSNA,5,,,
9614,Aerostar 601P,,,1992-04-24,,,,,
